Name,Description,X,Y,Z_Rim,Z_Sump,Z_Invert,Depth,Diameter,Material,Connected_Pipes
BAT-MH13,Concentric Cylindrical Structure SI,47000.6,250332.2,76741.6,73230.3,73230.3,3511,900.,Plastic,BATP12 (Battery Room) (in); BATP13 (Battery Room) (out)
BAT-MH4,Concentric Cylindrical Structure SI,197274.4,250328.1,76740.1,74231.9,74232.0,2508,900.,Plastic,BATP03 (Battery Room) (in); BATP04 (Battery Room) (out); Pipe497 (1) (Battery Room) (in)
BAT-MH3,Concentric Cylindrical Structure SI,210559.8,250332.6,76740.1,74321.0,74321.0,2419,900.,Plastic,BATP02 (Battery Room) (in); BATP03 (Battery Room) (out); Pipe551 (Battery Room) (in)
BAT-MH5,Concentric Cylindrical Structure SI,176855.6,250332.9,76740.1,74095.8,74095.8,2644,900.,Plastic,BATP04 (Battery Room) (in); BATP05 (Battery Room) (out); Pipe531 (Battery Room) (in)
BAT-MH6,Concentric Cylindrical Structure SI,166624.6,250332.8,76740.1,74027.8,74027.8,2712,900.,Plastic,BATP05 (Battery Room) (in); BATP06 (Battery Room) (out); Pipe502 (1) (Battery Room) (in)
BAT-MH10,Concentric Cylindrical Structure SI,98336.1,250332.5,76740.1,73572.0,73572.0,3168,900.,Plastic,BATP09 (Battery Room) (in); BATP10 (Battery Room) (out); Pipe525 (Battery Room) (in)
BAT-MH12,Concentric Cylindrical Structure SI,59093.9,250332.3,76740.1,73310.7,73310.7,3429,900.,Plastic,BATP11 (Battery Room) (in); BATP12 (Battery Room) (out); Pipe524 (Battery Room) (in)
BAT-MH11,Concentric Cylindrical Structure SI,74879.6,250332.3,76740.1,73415.5,73415.5,3325,900.,Plastic,BATP10 (Battery Room) (in); BATP11 (Battery Room) (out); Pipe507 (Battery Room) (in)
BAT-MH7,Concentric Cylindrical Structure SI,142733.4,250332.7,76740.1,73868.7,73868.7,2871,900.,Plastic,BATP06 (Battery Room) (in); BATP07 (Battery Room) (out); Pipe503 (1) (1) (1) (Battery Room) (in)
BAT-MH8,Concentric Cylindrical Structure SI,128504.8,250332.6,76740.1,73774.0,73774.0,2966,900.,Plastic,BATP07 (Battery Room) (in); BATP08 (Battery Room) (out); Pipe573 (Battery Room) (in)
BAT-MH1,Concentric Cylindrical Structure SI,246885.3,250341.2,76740.0,74563.3,74563.3,2177,900.,Plastic,BATP01 (Battery Room) (out); Pipe491 (Battery Room) (in)
BAT-MH2,Concentric Cylindrical Structure SI,234799.3,250344.6,76739.9,74482.7,74482.7,2257,900.,Plastic,BATP01 (Battery Room) (in); BATP02 (Battery Room) (out); Pipe493 (1) (Battery Room) (in)
BAT-MH9,Concentric Cylindrical Structure SI,107592.8,250571.0,76737.1,73634.0,73634.0,3103,900.,Plastic,BATP08 (Battery Room) (in); BATP09 (Battery Room) (out); Pipe505 (1) (Battery Room) (in)
BAT-MH14,Concentric Cylindrical Structure SI,42250.3,251029.4,76733.7,73198.0,73198.0,3536,900.,Plastic,BATP13 (Battery Room) (in); BATP14 (Battery Room) (out)
