Name,Description,X,Y,Z_Rim,Z_Sump,Z_Invert,Depth,Diameter,Material,Connected_Pipes
D-CP-15,Concentric Cylindrical Structure SI,-265732.8,256140.1,76997.6,75913.2,76031.4,966,900.,Plastic,CO-12.000 (Drainage Ditches) (out)
D-CP-16,Concentric Cylindrical Structure SI,-267947.0,257142.7,76902.6,75016.2,75134.4,1768,900.,Plastic,CO-11.000 (Drainage Ditches) (out)
D-CP-20,Concentric Cylindrical Structure SI,-233344.9,554054.2,76252.9,74186.3,74186.3,2067,900.,Plastic,CO-5.000 (1) (Drainage Ditches) (out)
D-CP-8,Concentric Cylindrical Structure SI,152683.6,115813.1,75681.3,73913.1,73913.1,1768,900.,Plastic,CO-13.000 (Drainage Ditches) (out)
D-CP-14,Concentric Cylindrical Structure SI,-143239.1,213233.8,74786.9,73400.5,73518.7,1268,900.,Plastic,CO-12.001 (Drainage Ditches) (in); CO-12.002 (Drainage Ditches) (out)
D-CP-21,Concentric Cylindrical Structure SI,-283506.5,529404.2,74453.4,72424.4,72424.4,2029,900.,Plastic,CO-5.001 (Drainage Ditches) (in); CO-5.002 (Drainage Ditches) (out)
D-CP-3,Concentric Cylindrical Structure SI,296872.6,169613.9,74283.3,73315.1,73315.1,968,900.,Plastic,CO-2.000 (Drainage Ditches) (out)
D-CP-9,Concentric Cylindrical Structure SI,13056.9,121003.7,74217.2,72731.8,72731.8,1485,900.,Plastic,CO-13.001 (Drainage Ditches) (in); CO-13.002 (Drainage Ditches) (out)
D-CP-23,Concentric Cylindrical Structure SI,-346682.6,486344.7,74033.0,72133.6,72133.6,1899,900.,Plastic,CO-6.000 (Drainage Ditches) (out)
D-CP-10,Concentric Cylindrical Structure SI,4696.1,116686.3,72390.6,71322.4,71322.4,1068,900.,Plastic,CO-14.000 (Drainage Ditches) (out)
D-CP-11,Concentric Cylindrical Structure SI,-76402.1,197429.3,72165.4,70281.8,70281.8,1884,900.,Plastic,CO-13.005 (Drainage Ditches) (in); CO-13.006 (Drainage Ditches) (out)
D-CP-26,Concentric Cylindrical Structure SI,-379407.7,467876.7,71940.2,70972.0,70972.0,968,900.,Plastic,CO-8.000 (Drainage Ditches) (out)
D-CP-22,Concentric Cylindrical Structure SI,-356043.4,529129.9,71712.6,70022.8,70022.8,1690,900.,Plastic,CO-5.004 (Drainage Ditches) (in); Pipe (18) (Drainage Ditches) (out)
D-CP-25,Concentric Cylindrical Structure SI,-378490.5,504281.8,71675.3,70707.1,70707.1,968,900.,Plastic,CO-8.001 (Drainage Ditches) (in); CO-8.002 (Drainage Ditches) (out)
D-CP-24,Concentric Cylindrical Structure SI,-359900.6,528619.3,71222.7,69760.2,69760.2,1462,900.,Plastic,Pipe (12) (Drainage Ditches) (in); Pipe (18) (Drainage Ditches) (in)
D-CP-17,Concentric Cylindrical Structure SI,-326757.8,367791.5,71051.3,68864.9,68983.1,2068,900.,Plastic,CO-11.001 (Drainage Ditches) (in); CO-11.002 (Drainage Ditches) (out)
D-CP-18,Concentric Cylindrical Structure SI,-376933.4,444236.2,70839.1,68281.8,68400.0,2439,900.,Plastic,CO-11.002 (Drainage Ditches) (in); CO-9.000 (Drainage Ditches) (in)
D-CP-19,Concentric Cylindrical Structure SI,-412920.2,491278.4,70701.8,68815.0,68933.2,1769,900.,Plastic,CO-9.000 (Drainage Ditches) (out)
D-CP-12,Concentric Cylindrical Structure SI,-92542.2,173200.1,69273.6,67887.2,68005.4,1268,900.,Plastic,CO-12.002 (Drainage Ditches) (in); CO-12.003 (Drainage Ditches) (out); CO-13.006 (Drainage Ditches) (in)
D-CP-7,Concentric Cylindrical Structure SI,-141702.8,636007.9,68923.5,65902.2,65902.2,3021,900.,Plastic,CO-4.000 (Drainage Ditches) (out)
D-CP-5,Concentric Cylindrical Structure SI,109899.7,455031.8,65795.8,63327.6,63445.8,2350,900.,Plastic,CO-4.007 (Drainage Ditches) (out); CO-4.006 (Drainage Ditches) (in); Pipe (43) (Drainage Ditches) (out)
D-CP-6,Concentric Cylindrical Structure SI,1074.2,558972.7,65764.9,64198.9,64198.9,1566,900.,Plastic,CO-4.004 (Drainage Ditches) (out); Pipe (46) (Drainage Ditches) (out); CO-4.003 (Drainage Ditches) (in)
D-CP-4,Concentric Cylindrical Structure SI,218577.5,335190.8,65718.8,63836.2,63954.4,1764,900.,Plastic,CO-5.000 (Drainage Ditches) (out)
D-CP-1,Concentric Cylindrical Structure SI,219766.4,332764.9,65613.0,63728.3,63846.5,1766,900.,Plastic,CO-1.000 (Drainage Ditches) (out)
D-CP-2,Concentric Cylindrical Structure SI,319710.2,284328.0,65045.4,63259.8,63259.8,1786,900.,Plastic,CO-1.003 (Drainage Ditches) (out); CO-2.002 (Drainage Ditches) (in); CO-1.002 (Drainage Ditches) (in)
D-CP-100,Null Structure,235962.2,325189.6,63948.9,0,63756.8,192,,,CO-1.000 (Drainage Ditches) (in); CO-1.001 (Drainage Ditches) (out); Pipe (40) (Drainage Ditches) (out)
D-CP-13,Concentric Cylindrical Structure SI,-51622.8,117062.4,56269.2,55932.6,56050.8,218,900.,Plastic,CO-12.004 (Drainage Ditches) (in)
