Name,Description,X,Y,Z_Rim,Z_Sump,Z_Invert,Depth,Diameter,Material,Connected_Pipes
FWMH09,Concentric Cylindrical Structure SI,91877.4,170456.6,76840.8,73851.6,74006.1,2835,900.,Plastic,FWP8 (Foul Water) (in); FWP9 (Foul Water) (out); Pipe1168 (Foul Water) (in); Pipe1170 (Foul Water) (in)
FWMH06,Concentric Cylindrical Structure SI,160073.8,170456.7,76835.8,74306.0,74460.5,2375,900.,Plastic,FWP5 (Foul Water) (in); FWP6 (Foul Water) (out); Pipe1119 (Foul Water) (in); Pipe1121 (Foul Water) (in); Pipe1223 (Foul Water) (in)
FWMH03,Concentric Cylindrical Structure SI,228000.8,170457.4,76835.8,74758.8,74913.3,1922,900.,Plastic,FWP2 (Foul Water) (in); FWP3 (Foul Water) (out); Pipe903 (Foul Water) (in); Pipe1115 (Foul Water) (in); Pipe1117 (Foul Water) (in)
FWMH21,Concentric Cylindrical Structure SI,24377.8,235794.1,76785.6,73094.9,73249.4,3536,900.,Plastic,FWP18 (Foul Water) (in); FWP19 (Foul Water) (out); Pipe1159 (Foul Water) (in); Pipe1161 (Foul Water) (in)
FWMH20,Concentric Cylindrical Structure SI,24091.0,222590.9,76780.1,73160.9,73315.4,3465,900.,Plastic,FWP17 (Foul Water) (in); FWP18 (Foul Water) (out); Pipe1153 (Foul Water) (in)
FWMH19,Concentric Cylindrical Structure SI,24006.4,216086.9,76778.5,73193.9,73348.4,3430,900.,Plastic,FWP16 (Foul Water) (in); FWP17 (Foul Water) (out); Pipe1147 (Foul Water) (in)
FWMH17,Concentric Cylindrical Structure SI,29301.2,204842.5,76766.1,73260.9,73415.4,3351,900.,Plastic,FWP14 (Foul Water) (in); FWP15 (Foul Water) (out); Pipe1137 (Foul Water) (in); Pipe1138 (Foul Water) (in)
FWMH26,Concentric Cylindrical Structure SI,209725.3,248914.6,76757.8,74716.6,74871.1,1887,900.,Plastic,FWP37 (Foul Water) (in); FWP38 (Foul Water) (out); Pipe1048 (Foul Water) (in)
FWMH23,Concentric Cylindrical Structure SI,252929.1,248918.3,76757.8,74933.7,75088.2,1670,900.,Plastic,FWP35 (Foul Water) (out); Pipe1032 (Foul Water) (in)
FWMH25,Concentric Cylindrical Structure SI,222084.2,248918.2,76757.8,74778.8,74933.3,1824,900.,Plastic,FWP36 (Foul Water) (in); FWP37 (Foul Water) (out); Pipe1043 (Foul Water) (in)
FWMH27,Concentric Cylindrical Structure SI,190606.7,248918.1,76757.7,74620.6,74775.1,1983,900.,Plastic,FWP38 (Foul Water) (in); FWP39 (Foul Water) (out); Pipe1053 (Foul Water) (in)
FWMH24,Concentric Cylindrical Structure SI,240383.2,248918.7,76757.7,74870.5,75025.0,1733,900.,Plastic,FWP35 (Foul Water) (in); FWP36 (Foul Water) (out); Pipe1036 (Foul Water) (in)
FWMH31,Concentric Cylindrical Structure SI,122706.1,248918.2,76757.7,74281.8,74436.3,2321,900.,Plastic,FWP42 (Foul Water) (in); FWP43 (Foul Water) (out); Pipe1083 (Foul Water) (in)
FWMH28,Concentric Cylindrical Structure SI,172481.3,248918.7,76757.7,74530.0,74684.5,2073,900.,Plastic,FWP40 (Foul Water) (out); FWP39 (Foul Water) (in); Pipe1058 (Foul Water) (in)
FWMH30,Concentric Cylindrical Structure SI,139566.9,248919.3,76757.7,74365.9,74520.4,2237,900.,Plastic,FWP41 (Foul Water) (in); FWP42 (Foul Water) (out); Pipe1196 (Foul Water) (in)
FWMH29,Concentric Cylindrical Structure SI,154006.6,248922.1,76757.7,74437.7,74592.2,2165,900.,Plastic,FWP40 (Foul Water) (in); FWP41 (Foul Water) (out); Pipe1065 (Foul Water) (in)
FWMH32,Concentric Cylindrical Structure SI,104111.0,248923.9,76757.7,74188.8,74343.3,2414,900.,Plastic,FWP43 (Foul Water) (in); FWP44 (Foul Water) (out); Pipe1197 (Foul Water) (in)
FWMH33,Concentric Cylindrical Structure SI,84962.0,248939.5,76757.5,74092.9,74247.4,2510,900.,Plastic,FWP44 (Foul Water) (in); FWP45 (Foul Water) (out); Pipe1198 (Foul Water) (in)
FWMH34,Concentric Cylindrical Structure SI,61780.7,248968.2,76757.1,73976.9,74131.4,2626,900.,Plastic,FWP45 (Foul Water) (in); FWP46 (Foul Water) (out); Pipe1199 (Foul Water) (in)
FWMH04,Concentric Cylindrical Structure SI,210069.7,170923.5,76754.2,74773.1,74791.3,1963,900.,Plastic,FWP3 (Foul Water) (in); FWP4 (Foul Water) (out); Pipe921 (Foul Water) (in)
FWMH07,Concentric Cylindrical Structure SI,141353.1,170890.1,76753.8,74184.7,74339.0,2415,900.,Plastic,FWP6 (Foul Water) (in); FWP7 (Foul Water) (out); Pipe967 (Foul Water) (in)
FWMH02,Concentric Cylindrical Structure SI,246483.7,170457.5,76748.4,74881.9,75036.4,1712,900.,Plastic,FWP1 (Foul Water) (in); FWP2 (Foul Water) (out); Pipe897 (Foul Water) (in)
FWMH01,Concentric Cylindrical Structure SI,252362.6,170456.4,76748.4,74921.1,75075.6,1673,900.,Plastic,FWP1 (Foul Water) (out); Pipe891 (Foul Water) (in)
FWMH08,Concentric Cylindrical Structure SI,122692.6,170455.0,76748.3,74056.7,74211.2,2537,900.,Plastic,FWP7 (Foul Water) (in); FWP8 (Foul Water) (out); Pipe988 (Foul Water) (in)
FWMH05,Concentric Cylindrical Structure SI,190592.6,170455.3,76748.3,74509.7,74664.2,2084,900.,Plastic,FWP4 (Foul Water) (in); FWP5 (Foul Water) (out); Pipe942 (Foul Water) (in)
FWMH10,Concentric Cylindrical Structure SI,61435.1,170454.3,76748.2,73649.0,73803.5,2945,900.,Plastic,FWP9 (Foul Water) (in); FWP10 (Foul Water) (out); Pipe1013 (Foul Water) (in)
FWMH16,Concentric Cylindrical Structure SI,29368.9,192265.6,76740.4,73323.9,73478.4,3262,900.,Plastic,FWP13 (Foul Water) (in); FWP14 (Foul Water) (out); Pipe1135 (Foul Water) (in)
FWMH15,Concentric Cylindrical Structure SI,29364.0,185076.8,76724.1,73384.5,73514.2,3210,900.,Plastic,FWP12 (1) (Foul Water) (in); FWP13 (Foul Water) (out); Pipe1129 (Foul Water) (in); Pipe1130 (Foul Water) (in)
FWMH18,Concentric Cylindrical Structure SI,24226.5,210080.1,76713.3,73225.6,73380.1,3333,900.,Plastic,FWP15 (Foul Water) (in); FWP16 (Foul Water) (out); Pipe1143 (Foul Water) (in)
FWMH22,Concentric Cylindrical Structure SI,24154.3,248964.1,76668.4,72988.1,73142.6,3526,900.,Plastic,FWP19 (Foul Water) (in); FWP20 (Foul Water) (out); FWP46 (Foul Water) (in)
FWMH14,Concentric Cylindrical Structure SI,29355.1,172048.5,76549.8,73471.1,73579.3,2970,900.,Plastic,FWP12 (Foul Water) (in); FWP12 (1) (Foul Water) (out); Pipe1123 (Foul Water) (in)
FWMH35,Concentric Cylindrical Structure SI,24391.2,266494.5,76483.5,73027.3,73054.6,3429,900.,Plastic,FWP20 (Foul Water) (in); FWP20 (1) (Foul Water) (out)
FWMH39,Concentric Cylindrical Structure SI,110474.0,363416.8,76428.0,74628.5,74783.0,1645,900.,Plastic,Pipe1100 (Foul Water) (in); FWP55 (1) (Foul Water) (out); Pipe1101 (Foul Water) (in)
FWMH13,Concentric Cylindrical Structure SI,29349.6,165015.4,76426.0,73459.6,73614.1,2812,900.,Plastic,FWP11 (1) (Foul Water) (in); FWP12 (Foul Water) (out)
FWMH41,Concentric Cylindrical Structure SI,104117.4,355422.5,76326.0,74560.5,74715.0,1611,900.,Plastic,FWP48 (Foul Water) (out); FWP47 (Foul Water) (in); FWP55 (1) (Foul Water) (in); Pipe1103 (Foul Water) (in)
FWMH40,Concentric Cylindrical Structure SI,115552.4,346330.1,76325.8,74633.5,74788.0,1538,900.,Plastic,FWP47 (Foul Water) (out); Pipe1105 (Foul Water) (in); Pipe1106 (Foul Water) (in)
FWMH36,Concentric Cylindrical Structure SI,21333.8,279391.4,76238.9,72741.3,72895.8,3343,900.,Plastic,FWP20 (1) (Foul Water) (in); FWP21 (Foul Water) (out); FWP54 (Foul Water) (in)
FWMH37,Concentric Cylindrical Structure SI,91902.1,366175.3,76219.1,74642.5,74797.0,1422,900.,Plastic,FWP56 (1) (Foul Water) (out); Pipe1099 (Foul Water) (in)
FWMH48,Concentric Cylindrical Structure SI,-25998.9,282441.0,76206.7,72504.1,72658.6,3548,900.,Plastic,FWP21 (Foul Water) (in); FWP22 (Foul Water) (out)
FWMH47,Concentric Cylindrical Structure SI,38430.0,279288.6,76190.0,73672.9,73827.4,2363,900.,Plastic,FWP53 (Foul Water) (in); FWP54 (Foul Water) (out)
FWMH44,Concentric Cylindrical Structure SI,116463.3,305738.8,76179.9,74172.9,74327.4,1853,900.,Plastic,FWP51 (Foul Water) (in); FWP52 (Foul Water) (out)
FWMH42,Concentric Cylindrical Structure SI,89649.2,349912.8,76155.4,74458.8,74613.3,1542,900.,Plastic,FWP49 (Foul Water) (in); FWP50 (Foul Water) (out)
