Name,Description,X,Y,Z_Rim,Z_Sump,Z_Invert,Depth,Diameter,Material,Connected_Pipes
TFD-MH24,Concentric Cylindrical Structure SI,52300.4,252999.6,76706.9,74561.5,74561.5,2145,900.,Plastic,Pipe657 (Oily Water) (in); OP24 (Oily Water) (out)
TFD-MH2,Concentric Cylindrical Structure SI,193446.1,252995.6,76706.8,73790.3,74090.3,2616,900.,Plastic,OP07 (Oily Water) (in); OP09 (Oily Water) (out); OP08 (Oily Water) (in)
TFD-MH4,Concentric Cylindrical Structure SI,91490.9,252995.1,76706.8,73053.6,73353.6,3353,900.,Plastic,OP25 (Oily Water) (out); OP20 (Oily Water) (in); OP21 (Oily Water) (in); Pipe638 (Oily Water) (in)
TFD-MH3,Concentric Cylindrical Structure SI,128838.9,252995.8,76706.8,73331.5,73631.5,3075,900.,Plastic,OP15 (Oily Water) (in); OP17 (Oily Water) (out); OP16 (1) (Oily Water) (in)
TFD-MH16,Concentric Cylindrical Structure SI,221048.3,167125.1,76706.7,74309.9,74309.9,2397,900.,Plastic,NW-OP02 (Oily Water) (in); NW-OP02 (1) (Oily Water) (out); Pipe670 (Oily Water) (in)
TFD-MH15,Concentric Cylindrical Structure SI,258741.1,167125.3,76706.7,74261.5,74561.5,2145,900.,Plastic,NW-OP01 (Oily Water) (out); Pipe665 (Oily Water) (in)
TFD-MH17,Concentric Cylindrical Structure SI,146551.6,167124.7,76706.7,73513.4,73813.4,2893,900.,Plastic,NW-OP08 (Oily Water) (in); NW-OP09 (Oily Water) (out)
TFD-MH19,Concentric Cylindrical Structure SI,66197.6,167124.3,76706.3,74261.5,74561.5,2145,900.,Plastic,NW-OP14 (Oily Water) (out); Pipe712 (Oily Water) (in)
TFD-MH18,Concentric Cylindrical Structure SI,98969.6,167124.5,76705.5,73162.2,73462.2,3243,900.,Plastic,NW-OP13 (Oily Water) (in); NW-OP15 (Oily Water) (in); NW-OP16 (Oily Water) (out)
TFD-MH1,Concentric Cylindrical Structure SI,263635.7,252995.9,76702.4,74256.5,74556.5,2146,900.,Plastic,OP01 (Oily Water) (out); Pipe564 (1) (Oily Water) (in)
TFD-MH6,Concentric Cylindrical Structure SI,90667.9,261575.1,76599.5,73024.6,73324.6,3275,900.,Plastic,OP25 (Oily Water) (in); OP26 (Oily Water) (out)
TFD-MH20,Concentric Cylindrical Structure SI,98978.4,155454.6,76559.7,73103.9,73403.9,3156,900.,Plastic,NW-OP16 (Oily Water) (in); NW-OP17 (Oily Water) (out); Pipe703 (Oily Water) (in)
TFD-MH12,Concentric Cylindrical Structure SI,226036.8,265233.3,76553.8,73707.9,74207.9,2346,560.,Reinforced Concrete,Pipe555 (Oily Water) (in); Pipe556 (Oily Water) (out)
TFD-MH11,Concentric Cylindrical Structure SI,193466.8,266106.6,76542.9,74258.0,74558.0,1985,900.,Plastic,OP08 (Oily Water) (out); Pipe553 (Oily Water) (out)
TFD-MH13,Concentric Cylindrical Structure SI,246240.3,266303.6,76540.4,73726.5,74226.5,2314,560.,Reinforced Concrete,Pipe558 (Oily Water) (in); Pipe559 (Oily Water) (out)
TFD-MH23,Concentric Cylindrical Structure SI,261293.2,153041.0,76530.7,73710.4,74210.4,2320,560.,Reinforced Concrete,Pipe661 (Oily Water) (in); Pipe662 (Oily Water) (out)
TFD-MH21,Concentric Cylindrical Structure SI,101357.9,151535.2,76511.4,73697.1,74197.1,2314,560.,Reinforced Concrete,Pipe704 (Oily Water) (in); Pipe705 (Oily Water) (out)
TFD-MH22,Concentric Cylindrical Structure SI,174742.3,151410.3,76510.3,73699.9,74199.9,2310,560.,Reinforced Concrete,Pipe685 (Oily Water) (in); Pipe686 (Oily Water) (out)
TFD-MH10,Concentric Cylindrical Structure SI,171023.0,268733.5,76510.1,73684.5,74184.5,2326,560.,Reinforced Concrete,Pipe550 (Oily Water) (in); Pipe551 (Oily Water) (in)
TFD-MH8,Concentric Cylindrical Structure SI,112628.5,272711.7,76460.3,73697.0,74197.0,2263,560.,Reinforced Concrete,Pipe548 (Oily Water) (in); Pipe549 (Oily Water) (out)
TFD-MH9,Concentric Cylindrical Structure SI,128413.7,273316.1,76452.8,74160.5,74460.5,1992,900.,Plastic,OP16 (Oily Water) (out); Pipe554 (Oily Water) (out)
TFD-MH5,Concentric Cylindrical Structure SI,27879.9,273226.4,76452.4,73697.1,74197.1,2255,560.,Reinforced Concrete,Pipe543 (Oily Water) (in); Pipe544 (Oily Water) (out)
TFD-MH7,Concentric Cylindrical Structure SI,92296.4,274228.5,76441.4,73654.7,74154.7,2287,560.,Reinforced Concrete,Pipe545 (Oily Water) (in); Pipe546 (Oily Water) (out)
TFD-MH14,Concentric Cylindrical Structure SI,97720.9,358710.9,76203.0,74119.0,74119.0,2084,900.,Plastic,Pipe660 (Oily Water) (in); Pipe717 (Oily Water) (in); Pipe718 (Oily Water) (out)
