Name,Description,X,Y,Z_Rim,Z_Sump,Z_Invert,Depth,Diameter,Material,Connected_Pipes
RW-MH29,Concentric Cylindrical Structure SI,40899.8,243857.5,76823.8,74845.3,74845.3,1979,900.,Plastic,CO-RW3.000 (Rainwater) (out); Pipe1351 (Rainwater) (in); Pipe1389 (Rainwater) (out)
RW-MH33,Concentric Cylindrical Structure SI,30381.7,205580.3,76790.1,73996.9,73996.9,2793,900.,Plastic,CO-RW3.002 (Rainwater) (in); CO-RW3.003 (Rainwater) (out)
RW-MH22,Concentric Cylindrical Structure SI,98099.8,171700.8,76778.4,73752.0,73752.0,3026,900.,Plastic,CO-RW2.008 (Rainwater) (in); CO-RW2.009 (Rainwater) (out); Pipe1336 (Rainwater) (in); Pipe1388 (Rainwater) (in)
RW-MH9,Concentric Cylindrical Structure SI,88522.5,247676.8,76773.3,73738.0,73738.0,3035,900.,Plastic,CO-RW1.007 (Rainwater) (in); CO-RW1.008 (Rainwater) (out); Pipe1369 (Rainwater) (in)
RW-MH6,Concentric Cylindrical Structure SI,152580.1,247685.9,76773.1,73952.3,73952.3,2821,900.,Plastic,CO-RW1.004 (Rainwater) (in); CO-RW1.005 (Rainwater) (out); Pipe1363 (Rainwater) (in)
RW-MH10,Concentric Cylindrical Structure SI,57871.7,247685.7,76773.1,73630.7,73630.7,3142,900.,Plastic,CO-RW1.008 (Rainwater) (in); CO-RW1.009 (Rainwater) (out); Pipe1355 (Rainwater) (in)
RW-MH3,Concentric Cylindrical Structure SI,220983.1,247688.1,76773.1,74180.4,74180.4,2593,900.,Plastic,CO-RW1.001 (Rainwater) (in); CO-RW1.002 (Rainwater) (out); Pipe1371 (Rainwater) (in)
RW-MH1,Concentric Cylindrical Structure SI,259475.0,247667.1,76773.1,74309.4,74309.4,2464,900.,Plastic,CO-RW1.000 (Rainwater) (out); Pipe1365 (Rainwater) (in)
RW-MH8,Concentric Cylindrical Structure SI,99781.8,247696.3,76773.0,73775.8,73775.8,2997,900.,Plastic,CO-RW1.006 (Rainwater) (in); CO-RW1.007 (Rainwater) (out); Pipe1358 (Rainwater) (in)
RW-MH4,Concentric Cylindrical Structure SI,196879.1,247698.0,76773.0,74100.0,74100.0,2673,900.,Plastic,CO-RW1.002 (Rainwater) (in); CO-RW1.003 (Rainwater) (out); Pipe1380 (Rainwater) (in); Pipe1377 (Rainwater) (in)
