Name,Description,X,Y,Z_Rim,Z_Sump,Z_Invert,Depth,Diameter,Material,Connected_Pipes
SWMH39,Concentric Cylindrical Structure SI,71155.1,266654.6,76536.0,73915.7,74215.7,2320,900.,Plastic,Pipe1205 (Stormwater) (out); Pipe1206 (Stormwater) (out); Pipe1208 (Stormwater) (out)
SWMH46,Concentric Cylindrical Structure SI,87153.3,387117.0,76476.6,73742.0,74042.0,2435,900.,Plastic,Pipe1187 (Stormwater) (out); Pipe1188 (Stormwater) (in)
SWMH51,Concentric Cylindrical Structure SI,132700.9,350292.9,76462.5,73484.0,73784.0,2679,900.,Plastic,Pipe1184 (Stormwater) (out); Pipe1185 (Stormwater) (in)
SWMH29,Concentric Cylindrical Structure SI,278034.5,167978.4,76394.4,73822.0,74122.0,2272,900.,Plastic,CO-1.000 (Stormwater) (out)
SWMH17,Concentric Cylindrical Structure SI,11640.7,275756.6,76373.2,72917.0,73217.0,3156,900.,Plastic,CO-51.006 (Stormwater) (out); CO-51.005 (Stormwater) (in)
SWMH45,Concentric Cylindrical Structure SI,74550.9,371931.1,76354.6,73835.3,74135.3,2219,900.,Plastic,Pipe1188 (Stormwater) (out)
SWMH30,Concentric Cylindrical Structure SI,277524.5,258033.1,76347.2,72142.6,72442.6,3905,900.,Plastic,CO-1.000 (Stormwater) (in); CO-1.001 (Stormwater) (out)
SWMH33,Concentric Cylindrical Structure SI,277524.5,258033.1,76347.2,72011.0,72311.0,4036,900.,Plastic,CO-1.002 (3) (1) (Stormwater) (in); CO-1.002 (2) (Stormwater) (out)
SWMH41,Concentric Cylindrical Structure SI,277524.5,258033.1,76347.2,72339.2,72931.5,3416,900.,Plastic,CO-2.001 (Stormwater) (in); CO-2.001 (2) (Stormwater) (out)
SWMH50,Concentric Cylindrical Structure SI,123200.1,339183.1,76317.3,73557.0,73857.0,2460,900.,Plastic,Pipe1185 (Stormwater) (out); Pipe1186 (Stormwater) (in)
SWMH49,Concentric Cylindrical Structure SI,108637.0,350484.7,76315.4,73669.0,73969.0,2346,900.,Plastic,Pipe1186 (Stormwater) (out)
SWMH07,Concentric Cylindrical Structure SI,-6586.7,227361.9,76314.3,72175.0,72475.0,3839,900.,Plastic,CO-50.006 (Stormwater) (out); CO-50.005 (Stormwater) (in)
SWMH36,Concentric Cylindrical Structure SI,12029.6,281517.2,76302.8,73169.5,73469.5,2833,900.,Plastic,CO-2.000 (Stormwater) (out); Pipe1224 (Stormwater) (in)
