Name,Description,X,Y,Z_Rim,Z_Sump,Z_Invert,Depth,Diameter,Material,Connected_Pipes
SD-MH2,Concentric Cylindrical Structure SI,199005.6,242861.7,76833.5,73790.9,74290.9,2543,630.,Reinforced Concrete,Pipe1297 (1) (1) (1) (Sub Soil) (in); Pipe1298 (Sub Soil) (out); Pipe1390 (1) (Sub Soil) (in)
SD-MH4,Concentric Cylindrical Structure SI,153066.7,242945.5,76832.4,74104.4,74354.4,2478,400.,Reinforced Concrete,Pipe1307 (1) (1) (1) (1) (1) (1) (Sub Soil) (in); Pipe1308 (1) (Sub Soil) (out); Pipe1431 (Sub Soil) (in)
SD-MH15,Concentric Cylindrical Structure SI,138670.5,176877.5,76828.6,73564.7,74064.7,2764,630.,Reinforced Concrete,Pipe1302 (1) (Sub Soil) (in); Pipe1302 (1) (1) (1) (Sub Soil) (out); Pipe1441 (Sub Soil) (in)
SD-MH5,Concentric Cylindrical Structure SI,129627.9,243359.9,76827.2,73556.8,74056.8,2770,630.,Reinforced Concrete,Pipe1308 (1) (1) (1) (1) (Sub Soil) (in); Pipe1309 (Sub Soil) (out); Pipe1444 (1) (Sub Soil) (in)
SD-MH7,Concentric Cylindrical Structure SI,60735.4,243606.0,76824.1,73319.3,73819.3,3005,630.,Reinforced Concrete,Pipe1311 (1) (Sub Soil) (in); Pipe1312 (1) (Sub Soil) (out); Pipe1421 (Sub Soil) (in); Pipe1541 (Sub Soil) (in)
SD-MH14,Concentric Cylindrical Structure SI,205382.0,176505.1,76824.0,73791.8,74291.8,2532,630.,Reinforced Concrete,Pipe1295 (1) (1) (Sub Soil) (in); Pipe1296 (Sub Soil) (in); Pipe1332 (Sub Soil) (out)
SD-MH17,Concentric Cylindrical Structure SI,62812.9,176502.9,76823.9,73321.8,73821.8,3002,630.,Reinforced Concrete,Pipe1305 (1) (Sub Soil) (in); Pipe1306 (Sub Soil) (out); Pipe1420 (Sub Soil) (in); Pipe1535 (Sub Soil) (in)
SD-MH13,Concentric Cylindrical Structure SI,249533.7,176465.7,76823.5,74442.6,74692.6,2131,400.,Reinforced Concrete,Pipe1523 (Sub Soil) (in); Pipe1294 (1) (1) (Sub Soil) (out)
SD-MH16,Concentric Cylindrical Structure SI,83800.5,176464.8,76823.1,74130.0,74380.0,2443,400.,Reinforced Concrete,Pipe1304 (1) (1) (1) (1) (1) (Sub Soil) (in); Pipe1305 (2) (Sub Soil) (out); Pipe1469 (Sub Soil) (in)
SD-MH1,Concentric Cylindrical Structure SI,260119.9,243641.2,76822.3,73993.9,74493.9,2328,630.,Reinforced Concrete,Pipe1297 (2) (1) (Sub Soil) (in); Pipe1352 (Sub Soil) (in); Pipe1500 (Sub Soil) (out); Pipe1528 (Sub Soil) (in)
SD-MH6,Concentric Cylindrical Structure SI,99578.1,243762.4,76822.2,73464.0,73964.0,2858,630.,Reinforced Concrete,Pipe1310 (1) (1) (1) (2) (Sub Soil) (in); Pipe1310 (1) (1) (1) (1) (1) (Sub Soil) (out); Pipe1463 (1) (Sub Soil) (in)
SD-MH9,Concentric Cylindrical Structure SI,26549.9,211522.3,76789.9,73828.3,74078.3,2712,400.,Reinforced Concrete,Pipe1327 (1) (Sub Soil) (in); Pipe1341 (1) (Sub Soil) (in); Pipe1548 (Sub Soil) (out)
SD-MH3,Concentric Cylindrical Structure SI,167082.7,246808.4,76784.1,73667.4,74167.4,2617,630.,Reinforced Concrete,Pipe1307 (1) (1) (1) (Sub Soil) (in); Pipe1307 (1) (1) (1) (2) (Sub Soil) (in); Pipe1515 (Sub Soil) (out)
SD-MH8,Concentric Cylindrical Structure SI,26581.6,244770.8,76766.6,73219.0,73719.0,3048,630.,Reinforced Concrete,Pipe1329 (1) (1) (1) (1) (1) (1) (Sub Soil) (in); Pipe1331 (Sub Soil) (out)
SD-MH19,Concentric Cylindrical Structure SI,99287.4,169705.7,76737.8,74512.0,75012.0,1726,630.,Reinforced Concrete,Pipe1483 (Sub Soil) (out); Pipe1483 (3) (Sub Soil) (in)
SD-MH21,Concentric Cylindrical Structure SI,167190.2,169605.9,76737.7,74511.0,75011.0,1727,630.,Reinforced Concrete,Pipe1484 (Sub Soil) (out); Pipe1484 (3) (Sub Soil) (in)
SD-MH23,Concentric Cylindrical Structure SI,235086.9,169606.2,76737.7,74511.0,75011.0,1727,630.,Reinforced Concrete,Pipe1491 (1) (1) (Sub Soil) (in); Pipe1491 (1) (1) (1) (Sub Soil) (out)
SD-MH18,Concentric Cylindrical Structure SI,96592.1,155344.8,76558.4,74615.0,75115.0,1443,630.,Reinforced Concrete,Pipe1555 (Sub Soil) (in); Pipe1556 (Sub Soil) (out)
SD-MH22,Concentric Cylindrical Structure SI,225160.3,155045.2,76555.7,74623.0,75123.0,1433,630.,Reinforced Concrete,Pipe1551 (Sub Soil) (out); Pipe1552 (Sub Soil) (in)
SD-MH20,Concentric Cylindrical Structure SI,157724.6,154540.2,76549.4,74618.0,75118.0,1431,630.,Reinforced Concrete,Pipe1553 (Sub Soil) (in); Pipe1554 (Sub Soil) (out)
SD-MH12,Concentric Cylindrical Structure SI,87648.4,385864.8,76502.7,73906.0,74406.0,2097,630.,Reinforced Concrete,Pipe1323 (Sub Soil) (in); Pipe1504 (Sub Soil) (out); Pipe1516 (Sub Soil) (in)
SD-MH11,Concentric Cylindrical Structure SI,128530.1,351991.4,76450.2,73871.0,74371.0,2079,630.,Reinforced Concrete,Pipe1313 (Sub Soil) (out); Pipe1314 (Sub Soil) (in)
SD-MH10,Concentric Cylindrical Structure SI,-196702.5,266027.7,75962.8,73362.0,73862.0,2101,630.,Reinforced Concrete,Pipe1519 (Sub Soil) (in); Pipe1520 (Sub Soil) (out)
