SX,SY,SZ,EX,EY,EZ,Dia,Name
-265732.8,256140.1,76031.4,-204432.5,234617.7,75706.6,163.6,CO-12.000
-204432.5,234617.7,75706.6,-143239.1,213233.8,73518.7,163.6,CO-12.001
-143239.1,213233.8,73518.7,-92542.2,173200.1,68038.7,163.6,CO-12.002
-92542.2,173200.1,68038.7,-42112.0,133377.0,62471.1,163.6,CO-12.003
-42112.0,133377.0,62471.1,-51622.8,117062.4,56050.8,163.6,CO-12.004
-267947.0,257142.7,75134.4,-281076.0,302321.2,72567.0,163.6,CO-11.000
-281076.0,302321.2,72567.0,-326757.8,367791.5,68983.1,163.6,CO-11.001
-326757.8,367791.5,68983.1,-376933.4,444236.2,68400.0,163.6,CO-11.002
-412920.2,491278.4,68933.2,-376933.4,444236.2,68400.0,163.6,CO-9.000
-379407.7,467876.7,70972.0,-373791.0,487088.4,70854.3,163.6,CO-8.000
-373791.0,487088.4,70854.3,-378490.5,504281.8,70707.1,163.6,CO-8.001
-378490.5,504281.8,70707.1,-377324.4,520740.1,69855.6,163.6,CO-8.002
-377324.4,520740.1,69855.6,-359900.6,528619.3,69872.0,163.6,Pipe (12)
-233344.9,554054.2,74186.3,-269712.9,528980.1,72493.4,163.6,CO-5.000 (1)
-269712.9,528980.1,72493.4,-283506.5,529404.2,72424.4,163.6,CO-5.001
-283506.5,529404.2,72424.4,-320912.8,504345.5,72199.3,163.6,CO-5.002
-320912.8,504345.5,72199.3,-350601.0,503307.1,71929.0,163.6,CO-5.003
-350601.0,503307.1,71929.0,-356043.4,529129.9,70023.0,163.6,CO-5.004
-356043.4,529129.9,70023.0,-359900.6,528619.3,69872.0,163.6,Pipe (18)
-346682.6,486344.7,72133.6,-350601.0,503307.1,71929.0,163.6,CO-6.000
152683.6,115813.1,73913.1,64048.6,116649.3,73469.9,163.6,CO-13.000
64048.6,116649.3,73469.9,13056.9,121003.7,72731.8,163.6,CO-13.001
13056.9,121003.7,72731.8,-2492.1,142640.2,72391.8,163.6,CO-13.002
-2492.1,142640.2,72391.8,-10332.7,140405.1,70771.2,163.6,CO-13.003
-10332.7,140405.1,70771.2,-17277.9,151583.5,70626.8,163.6,CO-13.004
-17277.9,151583.5,70626.8,-76402.1,197429.3,70281.8,163.6,CO-13.005
-76402.1,197429.3,70281.8,-92542.2,173200.1,68038.7,163.6,CO-13.006
4696.1,116686.3,71322.4,-9088.2,128191.6,71021.1,163.6,CO-14.000
-9088.2,128191.6,71021.1,-10332.7,140405.1,70771.2,163.6,CO-14.001
-141702.8,636007.9,65902.2,-105548.8,640896.1,64951.2,163.6,CO-4.000
319710.2,284328.0,63259.8,334859.4,304259.4,63108.6,163.6,CO-1.003
296872.6,169613.9,73315.1,303592.9,203551.0,73142.1,163.6,CO-2.000
303592.9,203551.0,73142.1,304094.6,243641.6,72941.6,163.6,CO-2.001
304094.6,243641.6,72941.6,319710.2,284328.0,63259.8,163.6,CO-2.002
281338.9,303965.5,63506.6,319710.2,284328.0,63259.8,163.6,CO-1.002
281338.9,303965.5,63506.6,289046.0,319860.8,63421.7,163.6,Pipe (39)
219766.4,332764.9,63846.5,235962.2,325189.6,63756.9,163.6,CO-1.000
235962.2,325189.6,63756.9,281338.9,303965.5,63506.6,163.6,CO-1.001
235962.2,325189.6,63756.9,243640.8,340997.4,63671.7,163.6,Pipe (40)
145689.0,420160.5,63195.9,182048.5,385973.8,62946.0,163.6,CO-4.008
145689.0,420160.5,63195.9,157164.6,431831.4,63114.0,163.6,Pipe (42)
109899.7,455031.8,63445.9,145689.0,420160.5,63195.9,163.6,CO-4.007
109899.7,455031.8,63445.9,121355.4,466727.0,63363.9,163.6,Pipe (43)
74130.3,489883.7,63695.9,109899.7,455031.8,63445.9,163.6,CO-4.006
74130.3,489883.7,63695.9,85546.2,501622.6,63613.9,163.6,Pipe (44)
1074.2,558972.7,64198.9,38213.6,524879.0,63946.8,163.6,CO-4.004
38213.6,524879.0,63946.8,74130.3,489883.7,63695.9,163.6,CO-4.005
38213.6,524879.0,63946.8,49737.0,536518.2,63864.9,163.6,Pipe (45)
1074.2,558972.7,64198.9,13438.8,571705.2,64117.7,163.6,Pipe (46)
-37511.6,591869.3,64452.7,1074.2,558972.7,64198.9,163.6,CO-4.003
-37511.6,591869.3,64452.7,-27448.6,604860.1,64370.6,163.6,Pipe (47)
-105548.8,640896.1,64951.2,-76448.7,623349.8,64702.8,163.6,CO-4.001
-76448.7,623349.8,64702.8,-37511.6,591869.3,64452.7,163.6,CO-4.002
-76448.7,623349.8,64702.8,-66436.8,636252.6,64621.1,163.6,Pipe (48)
218577.5,335190.8,63954.4,182048.5,385973.8,62946.0,163.6,CO-5.000
