SX,SY,SZ,EX,EY,EZ,Dia,Name
252362.6,170456.4,75112.8,246483.7,170457.5,75061.0,163.6,FWP1
246483.7,170457.5,75061.0,228000.8,170457.4,74957.5,163.6,FWP2
228000.8,170457.4,74957.5,210069.7,170923.5,74802.5,163.6,FWP3
210069.7,170923.5,74802.5,190592.6,170455.3,74688.8,163.6,FWP4
190592.6,170455.3,74688.8,160073.8,170456.7,74504.6,163.6,FWP5
160073.8,170456.7,74504.6,141353.1,170890.1,74350.0,163.6,FWP6
141353.1,170890.1,74350.0,122692.6,170455.0,74372.3,163.6,FWP7
122692.6,170455.0,74372.3,91877.4,170456.6,74043.0,163.6,FWP8
91877.4,170456.6,74043.0,61435.1,170454.3,73933.3,163.6,FWP9
61435.1,170454.3,73933.3,44722.4,165015.4,73712.5,204.6,FWP10
29349.6,165015.4,73614.3,29355.1,172048.5,73617.6,204.6,FWP12
29364.0,185076.8,73571.6,29368.9,192265.6,73516.6,204.6,FWP13
29368.9,192265.6,73516.6,29301.2,204842.5,73472.7,204.6,FWP14
29301.2,204842.5,73472.7,24226.5,210080.1,73418.5,204.6,FWP15
24226.5,210080.1,73418.5,24006.4,216086.9,73386.7,204.6,FWP16
24006.4,216086.9,73386.7,24091.0,222590.9,73353.8,204.6,FWP17
24091.0,222590.9,73353.8,24377.8,235794.1,73306.7,204.6,FWP18
24377.8,235794.1,73306.7,24154.3,248964.1,73183.5,204.6,FWP19
252929.1,248918.3,75125.1,240383.2,248918.7,75049.8,163.6,FWP35
240383.2,248918.7,75049.8,222084.2,248918.2,74957.9,163.6,FWP36
222084.2,248918.2,74957.9,209725.3,248914.6,74895.9,163.6,FWP37
172481.3,248918.7,74709.0,154006.6,248922.1,74616.9,163.6,FWP40
154006.6,248922.1,74616.9,139566.9,248919.3,74545.0,163.6,FWP41
139566.9,248919.3,74545.0,122706.1,248918.2,74460.9,163.6,FWP42
122706.1,248918.2,74460.9,104111.0,248923.9,74367.9,163.6,FWP43
104111.0,248923.9,74367.9,84962.0,248939.5,74272.0,163.6,FWP44
84962.0,248939.5,74272.0,61780.7,248968.2,74156.0,163.6,FWP45
61780.7,248968.2,74156.0,24154.3,248964.1,73183.5,163.6,FWP46
98047.2,360269.7,74680.0,89649.2,349912.8,74613.4,163.6,FWP49
89649.2,349912.8,74613.4,116436.6,328662.0,74442.4,163.6,FWP50
116436.6,328662.0,74442.4,116463.3,305738.8,74327.6,163.6,FWP51
116463.3,305738.8,74327.6,104516.4,299616.1,74260.3,163.6,FWP52
38819.6,300184.0,73931.9,38430.0,279288.6,73827.4,163.6,FWP53
38430.0,279288.6,73827.4,21333.8,279391.4,72923.1,163.6,FWP54
209725.3,248914.6,74895.9,190606.7,248918.1,74799.9,163.6,FWP38
190606.7,248918.1,74799.9,172481.3,248918.7,74709.0,163.6,FWP39
104117.4,355422.5,74733.5,98047.2,360269.7,74680.0,163.6,FWP48
91902.1,366175.3,74797.0,98047.2,360269.7,74680.0,90.0,FWP56 (1)
115552.4,346330.1,74837.3,104117.4,355422.5,74733.5,163.6,FWP47
110474.0,363416.8,74832.3,104117.4,355422.5,74733.5,163.6,FWP55 (1)
24154.3,248964.1,73183.5,24391.2,266494.5,73054.8,245.4,FWP20
21333.8,279391.4,72923.1,-25998.9,282441.0,72658.7,245.4,FWP21
-25998.9,282441.0,72658.7,-112465.5,222562.0,72132.7,245.4,FWP22
-112465.5,222562.0,72132.7,-120738.5,225580.8,72088.4,245.4,FWP23
-120738.5,225580.8,72088.4,-198659.4,286262.9,71646.4,245.4,FWP24
-343382.2,455014.7,70222.0,-350777.3,469637.0,69894.1,245.4,FWP28
-350777.3,469637.0,69894.1,-356702.0,501191.5,68924.2,245.4,FWP29
-356702.0,501191.5,68924.2,-366114.9,499424.1,69009.6,245.4,FWP30
-366114.9,499424.1,69009.6,-367882.0,508835.7,68870.0,204.6,FWP31
-367882.0,508835.7,68870.0,-358511.9,510831.1,68822.1,204.6,FWP32
-358511.9,510831.1,68822.1,-365551.1,548253.4,68631.8,204.6,FWP33
-257130.5,331798.2,71224.2,-303389.8,399503.0,70814.3,245.4,FWP26
-334977.8,445735.0,70534.5,-343382.2,455014.7,70222.0,245.4,FWP27 (1)
104516.4,299616.1,74260.3,38819.6,300184.0,73931.9,163.6,FWP52 (1)
-198659.4,286262.9,71646.4,-229267.8,310099.7,71400.6,245.4,FWP24 (1)
-229267.8,310099.7,71400.6,-257130.5,331798.2,71224.2,245.4,FWP24 (1) (1)
-303389.8,399503.0,70814.3,-334977.8,445735.0,70534.5,245.4,FWP26 (1)
252362.6,170456.4,75112.8,258847.6,176940.0,76050.0,90.0,Pipe891
258847.6,176940.0,76050.0,258847.6,186778.5,76200.0,90.0,Pipe892
258847.6,185084.7,76174.2,257953.6,185979.4,76281.0,90.0,Pipe893
257953.6,185979.4,76281.0,256440.8,185980.0,76300.0,90.0,Pipe894
258847.6,186065.9,76189.1,259335.6,186563.5,76300.0,90.0,Pipe895
258847.6,182347.8,76132.4,258867.8,182347.8,76300.0,90.0,Pipe896
246483.7,170457.5,75061.0,246483.6,189234.3,75345.9,90.0,Pipe897
246483.6,189234.3,75345.9,256561.8,189234.3,75472.0,90.0,Pipe898
255381.9,189234.3,75457.2,255941.3,189793.9,76268.2,90.0,Pipe899
255941.3,189793.9,76268.2,255940.8,192327.7,76300.0,90.0,Pipe900
248681.0,189234.3,75373.5,249240.1,189793.9,76268.2,90.0,Pipe901
249240.1,189793.9,76268.2,249239.5,192327.6,76300.0,90.0,Pipe902
228000.8,170457.4,74957.5,228000.7,189253.1,75221.0,90.0,Pipe903
228000.7,189253.1,75221.0,245286.4,189253.2,75437.1,90.0,Pipe904
244106.5,189253.2,75422.3,244973.5,189914.0,76268.0,90.0,Pipe905
244973.5,189914.0,76268.0,244646.4,192327.6,76300.0,90.0,Pipe906
243209.1,189253.2,75411.1,243727.9,189772.1,76268.0,90.0,Pipe907
243727.9,189772.1,76268.0,243727.6,192327.6,76300.0,90.0,Pipe908
237546.7,189253.2,75340.3,238113.0,188687.1,76084.1,90.0,Pipe909
238113.0,188687.1,76084.1,238114.6,182097.2,76150.0,90.0,Pipe910
238113.6,186055.0,76110.4,238108.9,186051.7,76159.9,90.0,Pipe912
236497.5,189253.2,75327.2,237038.0,189793.8,76268.2,90.0,Pipe913
237038.0,189793.8,76268.2,237037.5,192327.6,76300.0,90.0,Pipe914
231618.9,189253.2,75266.2,232207.7,189820.7,76274.9,90.0,Pipe915
232207.7,189820.7,76274.9,232446.4,192327.6,76300.0,90.0,Pipe916
230987.3,189253.1,75258.3,231527.8,189793.8,76268.2,90.0,Pipe917
231527.8,189793.8,76268.2,231527.3,192327.6,76300.0,90.0,Pipe918
228000.7,185514.0,75174.4,228541.1,186054.7,76272.4,90.0,Pipe919
228541.1,186054.7,76272.4,230751.6,186055.0,76300.0,90.0,Pipe920
210069.7,170923.5,74802.5,209173.9,189682.0,75065.1,90.0,Pipe921
198173.7,189684.5,75175.0,209173.9,189682.0,75065.1,90.0,Pipe922
225276.9,189684.7,75334.8,224837.5,190225.2,76273.9,90.0,Pipe923
224837.5,190225.2,76273.9,224837.5,192327.5,76300.0,90.0,Pipe924
220629.5,189684.7,75276.7,220246.5,190225.2,76273.9,90.0,Pipe925
220246.5,190225.2,76273.9,220246.2,192327.5,76300.0,90.0,Pipe926
219780.2,189684.7,75266.1,219327.5,190225.7,76273.9,90.0,Pipe927
219327.5,190225.7,76273.9,219327.5,192327.9,76300.0,90.0,Pipe928
214318.8,189679.5,75116.4,215000.0,188895.1,75466.0,90.0,Pipe929
215000.0,188895.1,75466.0,215197.3,186567.2,76296.8,90.0,Pipe930
212097.1,189684.7,75170.1,212637.7,190225.2,76273.9,90.0,Pipe931
212637.7,190225.2,76273.9,212637.4,192327.8,76300.0,90.0,Pipe932
208336.4,189682.2,75073.4,208046.5,190224.7,76273.9,90.0,Pipe933
208046.5,190224.7,76273.9,208046.5,192327.8,76300.0,90.0,Pipe934
207431.9,189682.4,75082.4,207127.3,190224.8,76273.9,90.0,Pipe935
207127.3,190224.8,76273.9,207127.5,192327.8,76300.0,90.0,Pipe936
200797.4,189683.9,75148.8,200437.7,190225.1,76273.9,90.0,Pipe938
200437.7,190225.1,76273.9,200437.7,192327.8,76300.0,90.0,Pipe939
198173.7,189684.5,75175.0,198104.1,186559.2,76300.0,90.0,Pipe941
190592.6,170455.3,74688.8,190592.2,189233.4,75207.2,90.0,Pipe942
190592.2,189233.4,75207.2,181344.1,189236.2,75362.0,90.0,Pipe943
162336.7,189233.3,75242.7,162848.7,188701.1,76078.5,90.0,Pipe944
162848.7,188701.1,76078.5,162851.6,186054.7,76105.0,90.0,Pipe945
162848.1,189233.5,75253.6,163625.3,189782.0,76268.1,90.0,Pipe946
163625.3,189782.0,76268.1,163625.0,192327.3,76300.0,90.0,Pipe947
163744.2,189233.7,75272.8,164287.2,189803.9,76268.1,90.0,Pipe948
164287.2,189803.9,76268.1,164546.4,192327.3,76300.0,90.0,Pipe949
168712.6,189235.2,75379.3,169136.1,189780.3,76268.1,90.0,Pipe950
169136.1,189780.3,76268.1,169137.5,192327.3,76300.0,90.0,Pipe951
169898.5,189235.6,75404.7,170212.1,188686.7,76034.1,90.0,Pipe952
170212.1,188686.7,76034.1,170214.2,182096.9,76100.0,90.0,Pipe953
170212.9,186054.7,76060.4,170206.8,186050.5,76060.4,90.0,Pipe954
175353.7,189237.2,75521.6,175825.9,189793.5,76268.2,90.0,Pipe955
176154.5,189237.4,75538.8,176745.0,189793.5,76268.2,90.0,Pipe956
175825.9,189793.5,76268.2,175827.3,192327.3,76300.0,90.0,Pipe957
176745.0,189793.5,76268.2,176745.0,192327.3,76300.0,90.0,Pipe958
181891.4,189236.0,75352.9,181338.1,189776.5,76268.1,90.0,Pipe959
181338.1,189776.5,76268.1,181339.5,192327.3,76300.0,90.0,Pipe960
188580.9,189234.0,75240.7,188039.4,189774.5,76268.0,90.0,Pipe961
