SX,SY,SZ,EX,EY,EZ,Dia,Name
91490.9,252995.1,74265.2,90667.9,261575.1,73324.7,245.4,OP25
263635.7,252995.9,75265.2,251651.8,252995.8,74976.6,131.0,OP01
251651.8,252995.8,74976.6,240781.8,252995.8,74928.6,131.0,OP02
240781.8,252995.8,74928.6,228811.8,252995.7,74875.3,131.0,OP03
228811.8,252995.7,74875.3,218041.8,252995.7,74827.3,131.0,OP04
200478.7,252995.6,74750.5,193446.1,252995.6,74217.9,131.0,OP07
193446.1,252995.6,74217.9,186790.2,252995.5,74689.6,131.0,OP09
186790.2,252995.5,74689.6,175466.8,252995.5,74672.3,131.0,OP10
175466.8,252995.5,74672.3,161771.0,252995.4,74578.2,131.0,OP11
161771.0,252995.4,74578.2,155161.8,252995.4,74549.1,131.0,OP12
155161.8,252995.4,74549.1,144249.8,252998.1,74498.3,131.0,OP13
144249.8,252998.1,74498.3,133227.1,252995.3,74451.1,131.0,OP14
133227.1,252995.3,74451.1,128838.9,252995.8,73872.5,131.0,OP15
128838.9,252995.8,73872.5,120214.5,252993.4,74378.5,163.6,OP17
120214.5,252993.4,74378.5,108198.8,252995.1,74338.5,163.6,OP18
108198.8,252995.1,74338.5,103077.3,252995.2,74321.4,163.6,OP19
103077.3,252995.2,74321.4,91490.9,252995.1,74265.2,163.6,OP20
85936.8,252995.0,74881.9,91490.9,252995.1,74265.2,131.0,OP21
74536.7,252995.0,74932.6,85936.8,252995.0,74881.9,131.0,OP22
52300.4,252999.6,75269.2,63136.8,252995.0,74983.1,131.0,OP24
63136.8,252995.0,74983.1,74536.7,252995.0,74932.6,131.0,OP23
218041.8,252995.7,74827.3,206825.8,252995.6,74776.7,131.0,OP05
206825.8,252995.6,74776.7,200478.7,252995.6,74750.5,131.0,OP06
128413.7,273316.1,74480.6,128193.4,263503.4,74393.3,131.0,OP16
193466.8,266106.6,74558.2,193446.1,252995.6,74217.9,131.0,OP08
258741.1,167125.3,75269.2,247282.2,167125.2,74982.0,131.0,NW-OP01
247282.2,167125.2,74982.0,221048.3,167125.1,74309.9,131.0,NW-OP02
207319.0,167125.0,74804.6,202074.2,167125.0,74781.2,131.0,NW-OP03
202074.2,167125.0,74781.2,190602.2,167124.9,74730.1,131.0,NW-OP04
190602.2,167124.9,74730.1,179102.2,167124.9,74678.6,131.0,NW-OP07
179102.2,167124.9,74678.6,146551.6,167124.7,73813.4,131.0,NW-OP08
146551.6,167124.7,73813.4,139335.1,167124.7,74502.0,131.0,NW-OP09
139335.1,167124.7,74502.0,133718.5,167124.7,74477.2,131.0,NW-OP10
133718.5,167124.7,74477.2,116819.8,167124.6,74402.4,131.0,NW-OP11
116819.8,167124.6,74402.4,111218.4,167124.5,74378.0,131.0,NW-OP12
111218.4,167124.5,74378.0,98969.6,167124.5,73767.6,131.0,NW-OP13
66197.6,167124.3,75269.2,77267.9,167124.4,74983.4,131.0,NW-OP14
77267.9,167124.4,74983.4,98969.6,167124.5,73767.6,131.0,NW-OP15
98969.6,167124.5,73767.6,98978.4,155454.6,73441.9,163.6,NW-OP16
90667.9,261575.1,73324.7,89315.5,263706.5,73316.1,245.4,OP26
89270.9,272495.7,73240.0,89319.7,280088.2,73214.8,245.4,OP27
98978.4,155454.6,73441.9,97122.1,154117.7,73396.4,245.4,NW-OP17
97113.1,148541.0,73329.2,98017.6,139116.4,73787.8,245.4,NW-OP18
118714.5,146475.6,76087.0,98714.5,146472.3,76087.5,0.0,Pipe539
221304.3,152476.1,76162.5,201304.3,152472.8,76160.9,0.0,Pipe540
221264.6,267647.7,76162.6,201264.6,267644.3,76162.6,0.0,Pipe541
98340.4,275643.8,76062.4,118340.5,275647.2,76062.4,0.0,Pipe542
27164.7,269677.7,74274.0,27879.9,273226.4,74330.4,90.0,Pipe543
27879.9,273226.4,74330.4,29572.9,281717.4,74433.0,40.8,Pipe544
89315.5,263706.5,73316.1,89281.2,268498.5,73300.0,245.4,OP26 (1)
89319.7,280088.2,73214.8,91049.3,282441.7,73775.8,245.4,OP27 (1)
93658.8,269653.8,74274.0,92296.4,274228.5,74264.4,90.0,Pipe545
92296.4,274228.5,74264.4,90998.9,280100.8,74353.9,40.8,Pipe546
90998.9,280100.8,74353.9,91049.3,282441.7,73775.8,40.8,Pipe547
112801.1,269635.9,74274.0,112628.5,272711.7,74334.9,90.0,Pipe548
112628.5,272711.7,74334.9,108053.3,281743.0,74439.0,40.8,Pipe549
172356.8,265411.2,74274.0,171023.0,268733.5,74222.9,90.0,Pipe550
171023.0,268733.5,74222.9,171063.1,277394.0,74350.2,40.8,Pipe551
171063.1,277394.0,74350.2,168616.2,281812.5,74402.0,40.8,Pipe552
201383.4,267652.3,74414.0,193466.8,266106.6,74558.2,131.0,Pipe553
128413.7,273316.1,74480.6,118178.1,275646.7,74299.4,131.0,Pipe554
228679.1,265178.3,74274.0,226036.8,265233.3,74376.6,90.0,Pipe555
226036.8,265233.3,74376.6,225489.0,271880.6,74523.1,40.8,Pipe556
225489.0,271880.6,74523.1,223673.2,273501.0,74515.0,40.8,Pipe557
247840.7,265282.8,74274.0,246240.3,266303.6,74351.8,90.0,Pipe558
246240.3,266303.6,74351.8,246281.3,269941.4,74465.1,40.8,Pipe559
246281.3,269941.4,74465.1,243161.8,273303.3,74450.0,40.8,Pipe560
265524.6,261132.9,76352.0,264310.4,261128.3,76313.9,90.0,Pipe561
264310.4,261128.3,76313.9,263854.4,260672.3,76286.1,90.0,Pipe562
263854.4,260672.3,76286.1,263864.9,254312.2,76062.0,90.0,Pipe563
263864.9,254312.2,76062.0,263856.8,253724.6,75981.3,90.0,Pipe564
265520.4,254390.0,76432.0,265311.0,254312.2,76390.0,90.0,Pipe565
261835.8,253588.1,76439.0,262548.4,254312.2,76285.0,90.0,Pipe566
253951.4,253587.1,76440.0,253314.6,254312.1,76323.1,90.0,Pipe567
251652.0,254312.1,76056.7,251651.8,252995.8,74976.6,90.0,Pipe568
250409.7,253599.5,76440.0,251015.3,254312.1,76230.0,90.0,Pipe569
242700.9,261139.1,76356.0,241602.7,261157.7,76320.1,90.0,Pipe570
241602.7,261157.7,76320.1,240783.6,260333.5,76287.2,90.0,Pipe571
240783.6,260333.5,76287.2,240781.9,254307.0,76065.0,90.0,Pipe572
240781.9,254307.0,76065.0,240781.8,252995.8,74928.6,90.0,Pipe573
242675.6,254400.2,76440.0,242449.7,254307.0,76398.2,90.0,Pipe574
238986.1,253617.9,76440.0,239487.4,254307.0,76300.0,90.0,Pipe575
231119.2,253592.0,76440.0,230722.3,254312.0,76338.8,90.0,Pipe576
227556.9,253589.8,76440.0,228217.6,254312.0,76224.5,90.0,Pipe577
228812.0,254312.0,76056.7,228811.8,252995.7,74875.3,90.0,Pipe578
219823.5,261157.0,76356.0,218802.1,261172.0,76322.1,90.0,Pipe579
218802.1,261172.0,76322.1,218087.0,260444.7,76293.8,90.0,Pipe580
218087.0,260444.7,76293.8,218026.7,254312.0,76065.0,90.0,Pipe581
218026.7,254312.0,76065.0,218041.8,252995.7,74827.3,90.0,Pipe582
219827.6,254394.7,76440.0,219599.7,254311.9,76395.7,90.0,Pipe583
216153.9,253601.5,76440.0,216665.8,254311.9,76320.6,90.0,Pipe584
