SX,SY,SZ,EX,EY,EZ,Dia,Name
123424.5,171710.7,73902.4,98099.8,171700.8,73850.0,327.2,CO-RW2.008
62231.2,171669.2,73698.4,48716.0,170031.6,73657.6,327.2,CO-RW2.011
48716.0,170031.6,73657.6,48697.3,161577.5,72429.9,327.2,CO-RW2.012
48697.3,161577.5,72429.9,7259.2,161592.8,72000.6,572.8,CO-RW2.013
125694.2,247702.6,73960.8,99781.8,247696.3,73841.2,327.2,CO-RW1.006
99781.8,247696.3,73841.2,88522.5,247676.8,73803.4,327.2,CO-RW1.007
88522.5,247676.8,73803.4,57871.7,247685.7,73696.2,327.2,CO-RW1.008
57871.7,247685.7,73696.2,24807.0,247654.2,73211.2,327.2,CO-RW1.009
24807.0,247654.2,73211.2,7270.8,247631.1,72016.8,327.2,CO-RW1.010
7270.8,247631.1,72016.8,-17490.1,247574.3,70744.8,654.6,CO-RW1.011
-17490.1,247574.3,70744.8,-40926.8,226067.3,69500.0,654.6,CO-RW1.012
134598.1,171719.7,73938.6,123424.5,171710.7,73902.4,327.2,CO-RW2.007
40899.8,243857.5,74921.1,21147.1,243371.9,74553.5,245.4,CO-RW3.000
21147.1,243371.9,74553.5,21392.2,224153.4,74324.0,245.4,CO-RW3.001
21624.3,205951.5,74084.8,30381.7,205580.3,73996.9,245.4,CO-RW3.002
30381.7,205580.3,73996.9,30441.5,177093.7,73750.0,245.4,CO-RW3.003
7259.2,161592.8,72000.6,7273.0,176589.9,72082.3,572.8,CO-RW2.014
7273.0,176589.9,72082.3,7270.8,247631.1,72016.8,572.8,CO-RW2.015
30441.5,177093.7,73750.0,28004.5,177034.3,73687.0,245.4,CO-RW3.004
20296.1,176965.5,73603.9,7273.0,176589.9,72082.3,245.4,CO-RW3.005
259475.0,247667.1,74407.2,233829.2,247722.3,74288.7,327.2,CO-RW1.000
233829.2,247722.3,74288.7,220983.1,247688.1,74246.0,327.2,CO-RW1.001
220983.1,247688.1,74246.0,196879.1,247698.0,74198.0,327.2,CO-RW1.002
196879.1,247698.0,74198.0,165050.4,247704.5,74059.3,327.2,CO-RW1.003
165050.4,247704.5,74059.3,152580.1,247685.9,74017.5,327.2,CO-RW1.004
152580.1,247685.9,74017.5,125694.2,247702.6,73960.8,327.2,CO-RW1.005
261043.4,171852.8,74426.7,233729.7,171833.4,74302.2,327.2,CO-RW2.000
233729.7,171833.4,74302.2,220579.4,171778.6,74258.2,327.2,CO-RW2.001
192839.7,171770.0,74132.9,165696.8,171751.8,74072.2,327.2,CO-RW2.004
165696.8,171751.8,74072.2,153845.7,171749.5,74032.0,327.2,CO-RW2.005
153845.7,171749.5,74032.0,134598.1,171719.7,73938.6,327.2,CO-RW2.006
98099.8,171700.8,73850.0,83927.8,171696.0,73803.1,327.2,CO-RW2.009
83927.8,171696.0,73803.1,62231.2,171669.2,73698.4,327.2,CO-RW2.010
220579.4,171778.6,74258.2,202342.4,171769.6,74165.0,327.2,CO-RW2.002
202342.4,171769.6,74165.0,192839.7,171770.0,74132.9,327.2,CO-RW2.003
260653.2,177931.4,74522.5,261043.4,171852.8,74426.7,131.0,Pipe1310
261733.4,178383.8,74525.8,261778.8,172820.7,74498.0,131.0,Pipe1311
261778.8,172820.7,74498.0,261043.4,171852.8,74426.7,131.0,Pipe1312
233833.6,178383.1,74432.8,233729.7,171833.4,74302.2,131.0,Pipe1313
233676.7,169261.0,74412.9,233729.7,171833.4,74302.2,131.0,Pipe1314
221283.6,178383.0,74390.7,221458.2,173240.1,74364.8,131.0,Pipe1315
221458.2,173240.1,74364.8,220579.4,171778.6,74258.2,131.0,Pipe1316
222545.4,169260.9,74372.3,222539.8,169729.2,74370.1,131.0,Pipe1317
222539.8,169729.2,74370.1,220579.4,171778.6,74258.2,131.0,Pipe1318
193383.6,178382.9,74298.3,193524.7,173131.0,74271.8,131.0,Pipe1321
193524.7,173131.0,74271.8,192839.7,171770.0,74132.9,131.0,Pipe1322
165933.6,178382.8,74203.9,166312.5,172807.5,74176.1,131.0,Pipe1323
166312.5,172807.5,74176.1,165696.8,171751.8,74072.2,131.0,Pipe1324
165766.0,169273.7,74182.4,165696.8,171751.8,74072.2,131.0,Pipe1325
125483.6,178382.7,74068.0,124829.3,173226.7,74042.1,131.0,Pipe1327
124829.3,173226.7,74042.1,123424.5,171710.7,73902.4,131.0,Pipe1328
154646.7,169260.7,74144.0,154180.2,171001.8,74135.0,131.0,Pipe1329
154180.2,171001.8,74135.0,153845.7,171749.5,74032.0,131.0,Pipe1330
153894.2,178390.1,74163.7,153564.5,172857.9,74135.8,131.0,Pipe1331
153564.5,172857.9,74135.8,153845.7,171749.5,74032.0,131.0,Pipe1332
97873.1,169360.4,74484.6,98232.6,169727.9,74482.0,131.0,Pipe1335
98232.6,169727.9,74482.0,98099.8,171700.8,73850.0,131.0,Pipe1336
85873.6,178382.5,73938.3,85965.1,174116.3,73916.9,131.0,Pipe1338
85965.1,174116.3,73916.9,83927.8,171696.0,73803.1,131.0,Pipe1339
86745.9,169360.4,74525.5,85602.4,169350.4,74519.8,131.0,Pipe1340
85602.4,169350.4,74519.8,83927.8,171696.0,73803.1,131.0,Pipe1341
60643.7,178382.4,73865.1,62098.7,176446.5,73852.9,131.0,Pipe1342
62098.7,176446.5,73852.9,62231.2,171669.2,73698.4,131.0,Pipe1343
52673.4,182231.3,75349.2,48456.7,179478.7,73835.1,131.0,Pipe1344
48456.7,179478.7,73835.1,48716.0,170031.6,73657.6,131.0,Pipe1345
33744.5,182231.3,74330.0,32909.5,181378.9,74323.9,131.0,Pipe1346
32909.5,181378.9,74323.9,30441.5,177093.7,73750.0,131.0,Pipe1347
25757.4,241828.0,73695.9,25752.1,242606.9,73691.8,131.0,Pipe1348
25752.1,242606.9,73691.8,24807.0,247654.2,73211.2,131.0,Pipe1349
51879.3,240690.6,75185.9,51846.3,243447.8,75181.6,131.0,Pipe1350
51846.3,243447.8,75181.6,40899.8,243857.5,74921.1,131.0,Pipe1351
44378.2,239989.3,74989.6,44022.5,243361.3,74971.0,131.0,Pipe1352
44022.5,243361.3,74971.0,41584.8,243411.0,74957.0,131.0,Pipe1353
58433.4,241682.4,73860.8,58465.6,242436.2,73857.2,131.0,Pipe1354
58465.6,242436.2,73857.2,57871.7,247685.7,73696.2,131.0,Pipe1355
98338.4,241682.5,74003.7,98619.2,243396.5,73995.0,131.0,Pipe1356
98619.2,243396.5,73995.0,99616.9,245953.7,73981.1,131.0,Pipe1357
99616.9,245953.7,73981.1,99781.8,247696.3,73841.2,131.0,Pipe1358
125933.4,241682.7,74089.1,125694.2,247702.6,73960.8,131.0,Pipe1359
126733.4,241682.7,74090.0,126551.8,245757.5,74066.2,131.0,Pipe1360
126551.8,245757.5,74066.2,125694.2,247702.6,73960.8,131.0,Pipe1361
157003.1,241682.8,74189.4,154360.5,242695.8,74172.2,131.0,Pipe1362
154360.5,242695.8,74172.2,152580.1,247685.9,74017.5,131.0,Pipe1363
261733.1,241677.7,74538.4,261588.5,246748.2,74530.1,131.0,Pipe1364
261588.5,246748.2,74530.1,259475.0,247667.1,74407.2,131.0,Pipe1365
166283.4,241682.8,74222.4,165396.6,242286.3,74217.1,131.0,Pipe1366
165396.6,242286.3,74217.1,165050.4,247704.5,74059.3,131.0,Pipe1367
88833.4,241682.5,73964.4,88740.6,246765.2,73938.8,131.0,Pipe1368
88740.6,246765.2,73938.8,88522.5,247676.8,73803.4,131.0,Pipe1369
224903.1,241683.0,74421.4,221834.4,241914.2,74406.1,131.0,Pipe1370
221834.4,241914.2,74406.1,220983.1,247688.1,74246.0,131.0,Pipe1371
234183.4,241683.1,74451.0,234550.9,242147.2,74447.9,131.0,Pipe1372
234550.9,242147.2,74447.9,234512.7,246701.3,74425.1,131.0,Pipe1373
234512.7,246701.3,74425.1,233829.2,247722.3,74288.7,131.0,Pipe1374
193833.4,241682.9,74341.5,193866.1,242632.7,74336.8,131.0,Pipe1375
193866.1,242632.7,74336.8,196983.3,242632.2,74321.2,131.0,Pipe1376
196983.3,242632.2,74321.2,196879.1,247698.0,74198.0,131.0,Pipe1377
194633.4,241682.9,74340.6,197605.4,241980.3,74325.1,131.0,Pipe1378
197605.4,241980.3,74325.1,197467.9,246179.1,74303.2,131.0,Pipe1379
197467.9,246179.1,74303.2,196879.1,247698.0,74198.0,131.0,Pipe1380
202342.4,171769.6,74165.0,203391.8,173021.4,74364.9,131.0,Pipe1381
203391.8,173021.4,74364.9,203380.0,178096.1,74578.9,131.0,Pipe1382
203380.0,178096.1,74578.9,202983.6,178383.0,74599.5,131.0,Pipe1383
135083.6,178382.7,74104.6,135480.6,178049.4,74102.2,131.0,Pipe1384
135480.6,178049.4,74102.2,135485.2,172968.2,74076.8,131.0,Pipe1385
135485.2,172968.2,74076.8,134598.1,171719.7,73938.6,131.0,Pipe1386
98033.6,178382.5,73981.8,98663.7,172849.3,73954.2,131.0,Pipe1387
98663.7,172849.3,73954.2,98099.8,171700.8,73850.0,131.0,Pipe1388
