SX,SY,SZ,EX,EY,EZ,Dia,Name
175094.4,146770.2,73640.0,157880.9,139090.1,73232.7,491.0,CO-50.001
-6586.7,227361.9,72475.0,-7264.5,275307.9,72668.0,654.6,CO-50.006
-138374.5,244726.6,73090.4,-141623.8,239820.3,71614.0,327.2,CO-54.003
117783.7,324289.9,70241.5,155018.8,350693.3,69863.9,654.6,CO-1.010
180140.4,273500.8,72224.0,168616.2,281812.5,72086.7,409.0,CO-1.003
168616.2,281812.5,72086.7,168512.2,303011.6,72358.4,654.6,CO-1.004
84539.0,398180.7,72643.7,86820.7,395179.9,72613.5,654.6,CO-4.007
-238267.1,322047.8,73327.1,-239694.8,316148.3,72844.0,245.4,CO-55.002
86820.7,395179.9,72613.5,79541.2,388161.9,72599.7,654.6,CO-4.008
163298.0,334226.5,73446.5,168512.2,303011.6,72358.4,327.2,CO-3.002
277524.5,258033.1,72442.8,264010.1,273091.7,72531.0,327.2,CO-1.001
157880.9,139090.1,73232.7,98017.6,139116.4,72743.5,654.6,CO-50.002
27284.1,139758.9,72602.1,-6212.6,173172.8,72542.8,654.6,CO-50.004
-6212.6,173172.8,72542.8,-6586.7,227361.9,72475.0,654.6,CO-50.005
-7264.5,275307.9,72668.0,-23390.2,274546.4,71930.7,654.6,CO-50.007
-23390.2,274546.4,71930.7,-78318.3,238343.0,70748.9,654.6,CO-50.008
-141623.8,239820.3,71614.0,-138384.5,237297.1,70618.8,491.0,CO-54.004
-19217.8,142855.3,65939.2,-15578.1,116320.1,64724.9,245.4,CO-70.001
278034.5,167978.4,74122.0,277524.5,258033.1,72442.8,327.2,CO-1.000
12029.6,281517.2,73526.7,29572.9,281717.4,73410.9,245.4,CO-2.000
91049.3,282441.7,73082.8,277524.5,258033.1,72931.6,491.0,CO-2.001
-239694.8,316148.3,72844.0,-186319.6,274606.8,72467.2,245.4,CO-55.003
11640.7,275756.6,73339.9,-7264.5,275307.9,72668.0,491.0,CO-51.006
-186319.6,274606.8,72467.2,-176998.3,267352.0,72249.0,409.0,CO-55.004
-176998.3,267352.0,72249.0,-141623.8,239820.3,71614.0,491.0,CO-55.005
98017.6,139116.4,72743.5,27284.1,139758.9,72602.1,654.6,CO-50.003
258575.7,146594.3,73807.0,175094.4,146770.2,73640.0,491.0,CO-50.000
