SX,SY,SZ,EX,EY,EZ,Dia,Name
222083.8,176465.4,74579.9,209883.7,176465.4,74518.8,163.6,Pipe1295
205382.0,176505.1,74436.1,198362.9,176676.4,75253.9,90.0,Pipe1296
199005.6,242861.7,74435.1,198050.5,246515.7,74271.9,163.6,Pipe1298
198050.5,246515.7,74271.9,196879.1,247698.0,74263.4,163.6,Pipe1299
62812.9,176502.9,73988.1,62811.1,172749.2,73802.8,163.6,Pipe1306
129627.9,243359.9,74201.1,125725.8,247700.4,74026.4,163.6,Pipe1309
132700.9,350292.9,73858.0,128530.1,351991.4,74461.1,90.0,Pipe1313
128530.1,351991.4,74461.1,125203.2,352260.2,74593.6,90.0,Pipe1314
125203.2,352260.2,74593.6,111921.8,362883.3,74760.5,90.0,Pipe1315
118329.2,343405.9,74734.5,104897.9,354166.4,74950.0,90.0,Pipe1315 (1)
84925.5,362983.9,74913.1,74924.0,370932.0,74785.2,90.0,Pipe1321
97059.4,378195.5,74718.2,84925.5,362983.9,74913.1,90.0,Pipe1320 (1)
97059.4,378195.5,74718.2,87648.4,385864.8,74529.7,90.0,Pipe1323
32561.5,204709.8,74123.9,31319.1,206117.7,74138.9,163.6,Pipe1327
26581.6,244770.8,73809.0,24825.8,247444.4,73703.0,163.6,Pipe1331
219796.5,242504.8,74599.0,209358.3,242726.2,74546.9,163.6,Pipe1297 (1)
205382.0,176505.1,74436.1,203640.3,172825.3,74271.6,163.6,Pipe1332
32522.4,187539.6,74234.8,32556.5,202665.5,74158.9,163.6,Pipe1326 (1) (1)
54449.8,187547.2,75560.0,33762.1,187540.1,75353.1,90.0,Pipe1334
37128.1,202665.5,75386.9,33707.5,202665.5,75352.9,90.0,Pipe1339
31319.1,206117.7,74138.9,26549.9,211522.3,74102.9,163.6,Pipe1327 (1)
54518.5,206127.0,75560.0,32728.5,206118.3,75342.0,90.0,Pipe1340
46898.9,211516.1,75560.0,28538.9,211521.7,75376.2,90.0,Pipe1341
26728.0,216699.7,74063.9,26780.2,227493.5,74010.0,163.6,Pipe1329 (1)
47471.8,216694.4,75560.0,28540.3,216699.2,75370.8,90.0,Pipe1342
26780.2,227493.5,74010.0,26788.7,236943.2,73962.9,163.6,Pipe1329 (1) (1) (1)
44684.0,227468.9,75560.0,28289.3,227491.5,75396.0,90.0,Pipe1344
26788.7,236943.2,73962.9,26662.0,241732.2,73914.3,163.6,Pipe1329 (1) (1) (1) (1) (1)
53729.2,236937.1,75560.0,28291.4,236942.9,75305.8,90.0,Pipe1346
32556.5,202665.5,74158.9,32561.5,204709.8,74123.9,163.6,Pipe1326 (1) (1) (1) (1) (1)
258071.1,211462.8,75445.2,258021.8,242776.2,75132.1,90.0,Pipe1351
258021.8,242776.2,75132.1,260119.9,243641.2,74646.9,90.0,Pipe1352
249533.7,176465.7,74692.8,244496.0,176465.6,74692.1,163.6,Pipe1294 (1) (1)
260119.9,243641.2,74646.9,245950.3,243641.1,74870.1,163.6,Pipe1297 (2) (1)
244496.0,176465.6,74692.1,232820.9,176465.5,74633.8,163.6,Pipe1294 (1) (1) (1)
